# # 121 angles,  1 tensor ranks for 0=projectile | @subtitle   "9Be(6Li,d)13C" | @legend ON | @legend x1 0.2 | @legend y1 0.8 | @g0 type LOGY | @yaxis ticklabel format power | @xaxis label "Scattering angle (degrees)" | @yaxis label "Cross section (mb/sr)" | @legend string   0 "Partition=  1 Excit=  1 near/far= 1" | #legend string   0 "Lab energy =   32.0000" | @s0 linestyle   1 | #  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
col0,col1
0.01,1.0
0.5,1.004
1.0,1.013
1.5,1.005
2.0,0.9758
2.5,0.9298
3.0,0.8728
3.5,0.8116
4.0,0.7521
4.5,0.6993
5.0,0.6567
5.5,0.627
6.0,0.6112
6.5,0.6098
7.0,0.6218
7.5,0.6459
8.0,0.6796
8.5,0.7206
9.0,0.7656
9.5,0.8117
10.0,0.8558
10.5,0.8949
11.0,0.9265
11.5,0.9484
12.0,0.9587
12.5,0.9566
13.0,0.9413
13.5,0.913
14.0,0.8723
14.5,0.8206
15.0,0.7596
15.5,0.6913
16.0,0.6183
16.5,0.5433
17.0,0.4688
17.5,0.3977
18.0,0.3325
18.5,0.2753
19.0,0.2282
19.5,0.1927
20.0,0.1697
20.5,0.1596
21.0,0.1626
21.5,0.1779
22.0,0.2046
22.5,0.2411
23.0,0.2855
23.5,0.3358
24.0,0.3895
24.5,0.4442
25.0,0.4976
25.5,0.5472
26.0,0.5909
26.5,0.6269
27.0,0.6537
27.5,0.6701
28.0,0.6754
28.5,0.6695
29.0,0.6526
29.5,0.6252
30.0,0.5885
30.5,0.5439
31.0,0.493
31.5,0.4377
32.0,0.3801
32.5,0.3224
33.0,0.2666
33.5,0.2147
34.0,0.1686
34.5,0.1299
35.0,0.09986
35.5,0.07961
36.0,0.06977
36.5,0.07064
37.0,0.08215
37.5,0.1039
38.0,0.135
38.5,0.1746
39.0,0.2212
39.5,0.2734
40.0,0.3294
40.5,0.3876
41.0,0.446
41.5,0.503
42.0,0.5568
42.5,0.6058
43.0,0.6487
43.5,0.6843
44.0,0.7117
44.5,0.7302
45.0,0.7393
45.5,0.7391
46.0,0.7295
46.5,0.7111
47.0,0.6845
47.5,0.6505
48.0,0.6101
48.5,0.5644
49.0,0.5148
49.5,0.4626
50.0,0.409
50.5,0.3554
51.0,0.303
51.5,0.253
52.0,0.2064
52.5,0.1643
53.0,0.1272
53.5,0.09591
54.0,0.07075
54.5,0.05198
55.0,0.03969
55.5,0.03379
56.0,0.03404
56.5,0.04005
57.0,0.05133
57.5,0.0673
58.0,0.08728
58.5,0.1105
59.0,0.1363
59.5,0.1639
60.0,0.1924
