# @legend string   1 "Partition=  2 Excit=  1 near/far= 1" | #legend string   0 "Lab energy =   32.0000" | @s1 linestyle   2 | #  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
col0,col1
0.0,0.03664
0.5,0.03662
1.0,0.03658
1.5,0.03651
2.0,0.03642
2.5,0.0363
3.0,0.03615
3.5,0.03597
4.0,0.03578
4.5,0.03555
5.0,0.0353
5.5,0.03503
6.0,0.03473
6.5,0.03442
7.0,0.03408
7.5,0.03372
8.0,0.03335
8.5,0.03295
9.0,0.03255
9.5,0.03212
10.0,0.03169
10.5,0.03124
11.0,0.03079
11.5,0.03033
12.0,0.02986
12.5,0.02939
13.0,0.02891
13.5,0.02844
14.0,0.02796
14.5,0.02749
15.0,0.02701
15.5,0.02655
16.0,0.02608
16.5,0.02562
17.0,0.02517
17.5,0.02472
18.0,0.02428
18.5,0.02384
19.0,0.02341
19.5,0.02299
20.0,0.02257
20.5,0.02215
21.0,0.02174
21.5,0.02133
22.0,0.02093
22.5,0.02053
23.0,0.02012
23.5,0.01972
24.0,0.01932
24.5,0.01892
25.0,0.01852
25.5,0.01811
26.0,0.01771
26.5,0.0173
27.0,0.01689
27.5,0.01648
28.0,0.01606
28.5,0.01564
29.0,0.01523
29.5,0.01481
30.0,0.01439
30.5,0.01397
31.0,0.01355
31.5,0.01314
32.0,0.01273
32.5,0.01232
33.0,0.01192
33.5,0.01152
34.0,0.01113
34.5,0.01075
35.0,0.01038
35.5,0.01001
36.0,0.00966
36.5,0.009316
37.0,0.008983
37.5,0.008662
38.0,0.008352
38.5,0.008054
39.0,0.007768
39.5,0.007493
40.0,0.007231
40.5,0.00698
41.0,0.00674
41.5,0.006511
42.0,0.006293
42.5,0.006084
43.0,0.005885
43.5,0.005695
44.0,0.005514
44.5,0.00534
45.0,0.005174
45.5,0.005014
46.0,0.00486
46.5,0.004712
47.0,0.00457
47.5,0.004432
48.0,0.004298
48.5,0.004168
49.0,0.004043
49.5,0.003921
50.0,0.003802
50.5,0.003686
51.0,0.003574
51.5,0.003464
52.0,0.003358
52.5,0.003255
53.0,0.003155
53.5,0.003059
54.0,0.002966
54.5,0.002876
55.0,0.002791
55.5,0.002709
56.0,0.002632
56.5,0.002558
57.0,0.002489
57.5,0.002424
58.0,0.002364
58.5,0.002309
59.0,0.002258
59.5,0.002211
60.0,0.00217
